District,Janpad,Sector,Gram_Panchayat,GP_20Sep_Name,Sub_Engineer,Correction
Maihar,Amarpatan,TALA,JAMUNA,Jamuna,सत्यनारायण मिश्रा,
Maihar,Amarpatan,TALA,KOTAR,Kotar,सत्यनारायण मिश्रा,
Maihar,Amarpatan,TALA,LALITPURNOTWO,Lalitpur,सत्यनारायण मिश्रा,
Maihar,Amarpatan,TALA,MARHI (NEAR AJMAIN),Madhie,सत्यनारायण मिश्रा,
Maihar,Amarpatan,TALA,MUKUNDPUR,Mukundpur,सत्यनारायण मिश्रा,
Maihar,Amarpatan,TALA,PARSIYA,Parasiya,सत्यनारायण मिश्रा,
Maihar,Amarpatan,TALA,TALA,Tala,सत्यनारायण मिश्रा,
Maihar,Maihar,AMDARA,AMDARA,Amdara,बृजेश सिंह,
Maihar,Maihar,AMDARA,GHUNWARRA,Ghunwara,बृजेश सिंह,
Maihar,Maihar,AMDARA,GORAIAKALA,Goraiya Kala,बृजेश सिंह,
Maihar,Maihar,AMDARA,KHERWASANI,Kherwa Sani,बृजेश सिंह,
Maihar,Maihar,AMDARA,KUTHILGWAN,Kuthilgawan,बृजेश सिंह,
Maihar,Maihar,AMDARA,MAHEDAR,Mahedar,बृजेश सिंह,
Maihar,Maihar,AMDARA,MATWARA,Matwara,बृजेश सिंह,
Maihar,Maihar,AMDARA,NAUGAWAN,Naugawan,बृजेश सिंह,
Maihar,Maihar,AMDARA,RAIGAWAN,Raigaon,बृजेश सिंह,
Maihar,Maihar,AMDARA,SEMRA,Semara,बृजेश सिंह,
Maihar,Maihar,AMDARA,SUHAULA,Suhaula,बृजेश सिंह,
Maihar,Maihar,AMDARA,TIGHARAKHURD,Tighara Khurd,बृजेश सिंह,
Maihar,Maihar,BADERA,AJWAIN,Ajwain,धनंजय त्रिपाठी,
Maihar,Maihar,BADERA,AMATARA,Amatara,धनंजय त्रिपाठी,
Maihar,Maihar,BADERA,AMILIYA,Amiliya,धनंजय त्रिपाठी,
Maihar,Maihar,BADERA,BADERA,Badera,धनंजय त्रिपाठी,
Maihar,Maihar,BADERA,BIHARAKALAN,Bihara Kala,धनंजय त्रिपाठी,
Maihar,Maihar,BADERA,DHANWAHI,Dhanwahi,धनंजय त्रिपाठी,
Maihar,Maihar,BADERA,DHARAMPURA,Dharampura,धनंजय त्रिपाठी,
Maihar,Maihar,BADERA,KAKARA,Kakara,धनंजय त्रिपाठी,
Maihar,Maihar,BADERA,KOYLARI,Kewalari,धनंजय त्रिपाठी,
Maihar,Maihar,BADERA,KUDWA,Kudawa,धनंजय त्रिपाठी,
Maihar,Maihar,BADERA,MAJHAGAWAN,Majhgawan,धनंजय त्रिपाठी,
Maihar,Maihar,GOBRI,BARETHI,Barethi,श्रीमती मीना अग्रवाल,
Maihar,Maihar,GOBRI,BATHIYA,Bathiya,श्रीमती मीना अग्रवाल,
Maihar,Maihar,GOBRI,BHATIGAWAN,Bhatigawan,श्रीमती मीना अग्रवाल,
Maihar,Maihar,GOBRI,BHEDA,Bhenda,श्रीमती मीना अग्रवाल,
Maihar,Maihar,GOBRI,CHAPNA,Chapana,श्रीमती मीना अग्रवाल,
Maihar,Maihar,GOBRI,DEORA,Dewara,श्रीमती मीना अग्रवाल,
Maihar,Maihar,GOBRI,GOBRI,Gowari,श्रीमती मीना अग्रवाल,
Maihar,Maihar,GOBRI,KANSA,Kansa,श्रीमती मीना अग्रवाल,
Maihar,Maihar,GOBRI,KARTAHA,Kartaha,श्रीमती मीना अग्रवाल,
Maihar,Maihar,GOBRI,KARUWA,Karuwa,श्रीमती मीना अग्रवाल,
Maihar,Maihar,GOBRI,MAGRAURA,Magraura,श्रीमती मीना अग्रवाल,
Maihar,Maihar,KUSEDI,BERMA,Berma,राज रंजन तिवारी,
Maihar,Maihar,KUSEDI,BHAISASUR,Bhainsasur,राज रंजन तिवारी,
Maihar,Maihar,KUSEDI,BHAMRAHA,Bhamraha,राज रंजन तिवारी,
Maihar,Maihar,KUSEDI,BHARAULI,Bharouli,राज रंजन तिवारी,
Maihar,Maihar,KUSEDI,HINAUTA KALAN,Hinauta Kala,राज रंजन तिवारी,
Maihar,Maihar,KUSEDI,ITAHARA,Ithara,राज रंजन तिवारी,
Maihar,Maihar,KUSEDI,ITAMA,Itama,राज रंजन तिवारी,
Maihar,Maihar,KUSEDI,KANHWARA,Kanhawara,राज रंजन तिवारी,
Maihar,Maihar,KUSEDI,KHAIRA,Khaira,राज रंजन तिवारी,
Maihar,Maihar,KUSEDI,KHERWAKALAN,Kherwa Kala,राज रंजन तिवारी,
Maihar,Maihar,KUSEDI,KUSEDI,Kusedi,राज रंजन तिवारी,
Maihar,Maihar,KUSEDI,LODHAUTI,Luthoti,राज रंजन तिवारी,
Maihar,Maihar,NADAN SHARDAPRASAD,BARAHIYA,Barahiya,योगेन्द्र सिंह अति0,
Maihar,Maihar,NADAN SHARDAPRASAD,BUDHERUA,Budheruwa,योगेन्द्र सिंह अति0,
Maihar,Maihar,NADAN SHARDAPRASAD,DUBEHI,Dubehi,योगेन्द्र सिंह अति0,
Maihar,Maihar,NADAN SHARDAPRASAD,JAMTAL,Jamtal,योगेन्द्र सिंह अति0,
Maihar,Maihar,NADAN SHARDAPRASAD,JARIYARI,Jariyari,योगेन्द्र सिंह अति0,
Maihar,Maihar,NADAN SHARDAPRASAD,KANCHANPUR,Kanchanpur,योगेन्द्र सिंह अति0,
Maihar,Maihar,NADAN SHARDAPRASAD,KARAUDI KAP NADAN,Karaundi Kap Nadan,योगेन्द्र सिंह अति0,
Maihar,Maihar,NADAN SHARDAPRASAD,KARAUDIUPADYAYA,Karondiya,योगेन्द्र सिंह अति0,
Maihar,Maihar,NADAN SHARDAPRASAD,NADAN SHARDAPRASAD,Nadan Shardaprasad,योगेन्द्र सिंह अति0,
Maihar,Maihar,NADAN SHARDAPRASAD,NADAN SHIVAPRASAD,Nadan Shivprasad,योगेन्द्र सिंह अति0,
Maihar,Maihar,NADAN SHARDAPRASAD,NARURA,Naraura,योगेन्द्र सिंह अति0,
Maihar,Maihar,NADAN SHARDAPRASAD,RIGRA,Rigara,योगेन्द्र सिंह अति0,
Maihar,Maihar,PAKARIYA,AMUWA,Amuwa,राज रंजन तिवारी अति0,
Maihar,Maihar,PAKARIYA,BINAIKA,Vineka,राज रंजन तिवारी अति0,
Maihar,Maihar,PAKARIYA,DHANEDI KHURD,Dhanedi Khurd,राज रंजन तिवारी अति0,
Maihar,Maihar,PAKARIYA,GUGADI,Gugadi,राज रंजन तिवारी अति0,
Maihar,Maihar,PAKARIYA,JHUKEHI,Jhukehi,राज रंजन तिवारी अति0,
Maihar,Maihar,PAKARIYA,KARAUDIA,Karaundi,राज रंजन तिवारी अति0,
Maihar,Maihar,PAKARIYA,PAKARIYA,Pakariya,राज रंजन तिवारी अति0,
Maihar,Maihar,PAKARIYA,PALA,Pala,राज रंजन तिवारी अति0,
Maihar,Maihar,PAKARIYA,PALAUHA,Palouha,राज रंजन तिवारी अति0,
Maihar,Maihar,PAKARIYA,PATHARAHATA,Patharhata,राज रंजन तिवारी अति0,
Maihar,Maihar,PAKARIYA,ROHINIYA KHURD,Rohaniya Khurd,राज रंजन तिवारी अति0,
Maihar,Maihar,PAKARIYA,SABHAGANJ,Sabhaganj,राज रंजन तिवारी अति0,
Maihar,Maihar,PONDI,BARAHI,Barahi,जय अर्खेल,
Maihar,Maihar,PONDI,DADI,Dandi,जय अर्खेल,
Maihar,Maihar,PONDI,DHATURA,Dhatura,जय अर्खेल,
Maihar,Maihar,PONDI,HARNAMPUR,Harnampur,जय अर्खेल,
Maihar,Maihar,PONDI,JEETNAGAR,Jeetnagar,जय अर्खेल,
Maihar,Maihar,PONDI,KALYANPUR,Kalyanpur,जय अर्खेल,
Maihar,Maihar,PONDI,KUTAI,Kutai,जय अर्खेल,
Maihar,Maihar,PONDI,NAKTARA,Naktara,जय अर्खेल,
Maihar,Maihar,PONDI,PIPRAKALAN,Pipara Kala,जय अर्खेल,
Maihar,Maihar,PONDI,PONDI,Pondi,जय अर्खेल,
Maihar,Maihar,RIWARA,BARAKHURD,Bara Khurd,योगेन्द्र सिंह,
Maihar,Maihar,RIWARA,GORAIYA,Goraiya,योगेन्द्र सिंह,
Maihar,Maihar,RIWARA,JHANJHWARI,Jhanjhwari,योगेन्द्र सिंह,
Maihar,Maihar,RIWARA,JOBA,Jowa,योगेन्द्र सिंह,
Maihar,Maihar,RIWARA,JUDWANI,Judawani,योगेन्द्र सिंह,
Maihar,Maihar,RIWARA,LATAGAON,Latagaon,योगेन्द्र सिंह,
Maihar,Maihar,RIWARA,MAUDAHA,Maudaha,योगेन्द्र सिंह,
Maihar,Maihar,RIWARA,PATEHRA,Patehara,योगेन्द्र सिंह,
Maihar,Maihar,RIWARA,PIPRABARRBAND,Pipara Barband,योगेन्द्र सिंह,
Maihar,Maihar,RIWARA,RIWARA,Riwara,योगेन्द्र सिंह,
Maihar,Maihar,RIWARA,SARANG,Sarang,योगेन्द्र सिंह,
Maihar,Maihar,SONWARI,BHADAN PUR N.,Bhadanpur Ne,सुरेश सिंह,
Maihar,Maihar,SONWARI,BHADANPUR SW,Bhadanpur Sn,सुरेश सिंह,
Maihar,Maihar,SONWARI,BHATOORA,Bhatura,सुरेश सिंह,
Maihar,Maihar,SONWARI,CHAUPADA,Choupada,सुरेश सिंह,
Maihar,Maihar,SONWARI,DELHA,Delha,सुरेश सिंह,
Maihar,Maihar,SONWARI,DEORI,Dewari,सुरेश सिंह,
Maihar,Maihar,SONWARI,GHORVAI,Ghorwai,सुरेश सिंह,
Maihar,Maihar,SONWARI,HARDASPUR,Hardaspur,सुरेश सिंह,
Maihar,Maihar,SONWARI,SADHERA,Sadhera,सुरेश सिंह,
Maihar,Maihar,SONWARI,SALAIYA,Salaiya,सुरेश सिंह,
Maihar,Maihar,SONWARI,SONWARI,Sonwari,सुरेश सिंह,
Maihar,Maihar,TILAURA,AMILYA KALAN,Amiliya Kala,राजा भैया सिंह,
Maihar,Maihar,TILAURA,BANSHIPUR,Bansipur,राजा भैया सिंह,
Maihar,Maihar,TILAURA,BELDARRA,Beldara,राजा भैया सिंह,
Maihar,Maihar,TILAURA,DHANWAHIKALAN,Dhanwahi Kala,राजा भैया सिंह,
Maihar,Maihar,TILAURA,HINAUTA GAJGAUNA,Hinauta Gajgauna,राजा भैया सिंह,
Maihar,Maihar,TILAURA,JURA,Jora,राजा भैया सिंह,
Maihar,Maihar,TILAURA,KARAIYA DEORI,Karaiya Deori,राजा भैया सिंह,
Maihar,Maihar,TILAURA,MADAI,Madai,राजा भैया सिंह,
Maihar,Maihar,TILAURA,MANTOLWA,Mantolwa,राजा भैया सिंह,
Maihar,Maihar,TILAURA,PAHADI,Pahadi,राजा भैया सिंह,
Maihar,Maihar,TILAURA,TILAURA,Tilora,राजा भैया सिंह,
Maihar,Maihar,TILAURA,TINDUHATA,Tinduhata,राजा भैया सिंह,
Maihar,Maihar,TILAURA,UMRI PHIPHARI,Umari Fifari,राजा भैया सिंह,
Maihar,Ramnagar,BADAITMA,BADAITMA,Bada Itama,राजा राम चंदेल,
Maihar,Ramnagar,BADAITMA,BADWAR,Badwar,राजा राम चंदेल,
Maihar,Ramnagar,BADAITMA,DADHEECHTOLA,Dhadheech Tola,राजा राम चंदेल,
Maihar,Ramnagar,BADAITMA,DEVRA,Devra,राजा राम चंदेल,
Maihar,Ramnagar,BADAITMA,HARRAI,Harrai,राजा राम चंदेल,
Maihar,Ramnagar,BADAITMA,KHARA,Khara,राजा राम चंदेल,
Maihar,Ramnagar,BADAITMA,KUDARIKALAN,Kundehri Kala,राजा राम चंदेल,
Maihar,Ramnagar,BADAITMA,MANKAHRI,Mankahari,राजा राम चंदेल,
Maihar,Ramnagar,BADAITMA,NADO,Nado,राजा राम चंदेल,
Maihar,Ramnagar,BADAITMA,SULKHAMA,Sulkhama,राजा राम चंदेल,
Maihar,Ramnagar,BADAITMA,TENGANA,Tegana,राजा राम चंदेल,
Maihar,Ramnagar,GANGASAGAR,DEVRAMALHAI,Dewara Molhai,अनिल पाण्डेय,
Maihar,Ramnagar,GANGASAGAR,GANGASAGAR,Ganga Sagar,अनिल पाण्डेय,
Maihar,Ramnagar,GANGASAGAR,GIDHAILA,Gidhaila,अनिल पाण्डेय,
Maihar,Ramnagar,GANGASAGAR,GOVINDPUR,Govindpur,अनिल पाण्डेय,
Maihar,Ramnagar,GANGASAGAR,JOWA,Joba,अनिल पाण्डेय,
Maihar,Ramnagar,GANGASAGAR,KARRA,Karra,अनिल पाण्डेय,
Maihar,Ramnagar,GANGASAGAR,NARAYANPUR,Narayanpur,अनिल पाण्डेय,
Maihar,Ramnagar,GANGASAGAR,NEWDEORAJNAGAR,New Devrajanagar,अनिल पाण्डेय,
Maihar,Ramnagar,GANGASAGAR,PADMI,Padami,अनिल पाण्डेय,
Maihar,Ramnagar,GANGASAGAR,SOHAULA,Suhaula,अनिल पाण्डेय,
Maihar,Ramnagar,GANGASAGAR,SONADI,Sunadi,अनिल पाण्डेय,
Maihar,Ramnagar,GORSARI,BABUPUR,Babupur,श्रीमती साधना सिंह,
Maihar,Ramnagar,GORSARI,CHANDWAR,Chandwar,श्रीमती साधना सिंह,
Maihar,Ramnagar,GORSARI,DEORI,Dewari,श्रीमती साधना सिंह,
Maihar,Ramnagar,GORSARI,DEORI KALAN,Dewari Kala,श्रीमती साधना सिंह,
Maihar,Ramnagar,GORSARI,GAILAHARI,Gailahari,श्रीमती साधना सिंह,
