janpad,totalGP,musterGP,dysfunctionalGP,labourAll,mrAll,noEkyc,mrs,ongoingAll,labourIndividual,mrIndividual,labourCommunity,mrCommunity,pmayLabour,pmayOngoing,pmayMR,ekLabour,ekOngoing,ekMR
AMARPATAN,75,69,6,305,201,0,201,1525,217,169,77,16,217,886,168,27,109,21
MAIHAR,115,93,22,405,256,0,257,2726,234,189,61,9,278,1589,233,31,85,12
RAMNAGAR,55,44,11,223,135,0,139,1231,189,159,70,6,166,907,145,18,105,14
MAJHGAWAN,96,60,36,258,126,0,129,2412,237,145,181,27,121,1360,97,22,85,6
NAGOD,94,67,27,262,187,0,188,2505,328,253,104,6,195,1641,173,24,100,13
RAMPUR BAGHELAN,97,66,31,269,204,0,204,3446,270,216,103,17,257,2742,222,21,75,11
SATNA,93,89,4,362,155,0,156,1071,151,120,268,51,95,450,85,41,95,23
UNCHAHARA,70,46,24,195,114,0,117,1957,184,131,37,7,95,1197,85,36,102,24
