janpad,totalGP,musterGP,dysfunctionalGP,labourAll,mrAll,noEkyc,mrs,ongoingAll,labourIndividual,mrIndividual,labourCommunity,mrCommunity,pmayOngoing,pmayMR,ekLabour,ekOngoing,ekMR,pmayLabour
AMARPATAN,75,64,11,221,131,0,132,1525,142,117,77,16,103,103,18,14,14,124
MAIHAR,115,95,20,315,170,0,171,2726,187,138,61,9,117,117,35,17,17,139
RAMNAGAR,55,47,8,183,111,0,113,1231,123,104,70,6,98,98,6,6,6,117
MAJHGAWAN,96,75,21,253,102,0,106,2412,143,78,181,27,53,53,51,12,13,65
NAGOD,94,80,14,290,204,0,205,2505,220,188,104,6,175,175,20,10,10,195
RAMPUR BAGHELAN,97,87,10,363,193,0,197,3446,228,172,103,17,147,147,60,24,25,168
SATNA,93,93,0,359,183,0,186,1071,157,133,268,51,68,68,81,64,64,74
UNCHAHARA,70,57,13,163,100,0,100,1957,122,91,37,7,69,69,46,21,21,74
